,TEAM,NAME
100,Real Madrid,FABIEN CAUSEUR
101,Real Madrid,FACUNDO CAMPAZZO
102,Real Madrid,FELIPE REYES
103,Real Madrid,GUSTAVO AYON
104,Real Madrid,LUKA DONCIC
105,Real Madrid,SERGIO LLULL
106,Real Madrid,RUDY FERNANDEZ
107,Real Madrid,JEFFERY TAYLOR
108,Real Madrid,ANTHONY RANDOLPH
109,Real Madrid,WALTER TAVARES
110,Real Madrid,JAYCEE CARROLL
111,Real Madrid,TREY THOMPKINS
112,CSKA Moscow,CORY HIGGINS
113,CSKA Moscow,NIKITA KURBANOV
114,CSKA Moscow,OTHELLO HUNTER
115,CSKA Moscow,SEMEN ANTONOV
116,CSKA Moscow,SERGIO RODRIGUEZ
117,CSKA Moscow,WILL CLYBURN
118,CSKA Moscow,VIKTOR KHRYAPA
119,CSKA Moscow,KYLE HINES
120,CSKA Moscow,NANDO DE COLO
121,CSKA Moscow,MIKHAIL KULAGIN
122,CSKA Moscow,VITALY FRIDZON
123,CSKA Moscow,VICTOR RUDD
124,CSKA Moscow,ANDREY VORONTSEVICH
125,Fenerbahce Dogus Istanbul,AHMET DUVERIOGLU
126,Fenerbahce Dogus Istanbul,BRAD WANAMAKER
127,Fenerbahce Dogus Istanbul,JAN VESELY
128,Fenerbahce Dogus Istanbul,MARKO GUDURIC
129,Fenerbahce Dogus Istanbul,NIKOLA KALINIC
130,Fenerbahce Dogus Istanbul,KONSTANTINOS SLOUKAS
131,Fenerbahce Dogus Istanbul,NICOLO MELLI
132,Fenerbahce Dogus Istanbul,BOBBY DIXON
133,Fenerbahce Dogus Istanbul,LUIGI DATOME
134,Fenerbahce Dogus Istanbul,JASON THOMPSON
135,Fenerbahce Dogus Istanbul,JAMES NUNNALLY
136,Khimki Moscow Region,ALEXEY SHVED
137,Khimki Moscow Region,ANTHONY GILL
138,Khimki Moscow Region,CHARLES JENKINS
139,Khimki Moscow Region,JAMES ANDERSON
140,Khimki Moscow Region,MALCOLM THOMAS
141,Khimki Moscow Region,SERGEY MONYA
142,Khimki Moscow Region,TYLER HONEYCUTT
143,Khimki Moscow Region,STEFAN MARKOVIC
144,Khimki Moscow Region,THOMAS ROBINSON
145,Khimki Moscow Region,MARKO TODOROVIC
146,Khimki Moscow Region,EGOR VYALTSEV
147,Baskonia Vitoria Gasteiz,JOHANNES VOIGTMANN
148,Baskonia Vitoria Gasteiz,MARCELINHO HUERTAS
149,Baskonia Vitoria Gasteiz,PATRICIO GARINO
150,Baskonia Vitoria Gasteiz,RODRIGUE BEAUBOIS
151,Baskonia Vitoria Gasteiz,VINCENT POIRIER
152,Baskonia Vitoria Gasteiz,TORNIKE SHENGELIA
153,Baskonia Vitoria Gasteiz,LUCA VILDOZA
154,Baskonia Vitoria Gasteiz,JANIS TIMMA
155,Baskonia Vitoria Gasteiz,MATT JANNING
156,Baskonia Vitoria Gasteiz,ILIMANE DIOP
157,Baskonia Vitoria Gasteiz,JAYSON GRANGER
158,Zalgiris Kaunas,BRANDON DAVIES
159,Zalgiris Kaunas,EDGARAS ULANOVAS
160,Zalgiris Kaunas,KEVIN PANGOS
161,Zalgiris Kaunas,PAULIUS JANKUNAS
162,Zalgiris Kaunas,VASILIJE MICIC
163,Zalgiris Kaunas,AARON WHITE
164,Zalgiris Kaunas,AXEL TOUPANE
165,Zalgiris Kaunas,ANTANAS KAVALIAUSKAS
166,Zalgiris Kaunas,BENO UDRIH
167,Zalgiris Kaunas,ARTURAS MILAKNIS
168,Zalgiris Kaunas,MARTYNAS SAJUS
169,Zalgiris Kaunas,PAULIUS VALINSKAS
170,Khimki Moscow Region,VYACHESLAV ZAYTSEV
171,Panathinaikos Superfoods Athens,CHRIS SINGLETON
172,Panathinaikos Superfoods Athens,IAN VOUGIOUKAS
173,Panathinaikos Superfoods Athens,K.C. RIVERS
174,Panathinaikos Superfoods Athens,MIKE JAMES
175,Panathinaikos Superfoods Athens,NICK CALATHES
176,Panathinaikos Superfoods Athens,JAMES GIST
177,Panathinaikos Superfoods Athens,MARCUS DENMON
178,Panathinaikos Superfoods Athens,MATT LOJESKI
179,Panathinaikos Superfoods Athens,THANASIS ANTETOKOUNMPO
180,Panathinaikos Superfoods Athens,KENNY GABRIEL
181,Panathinaikos Superfoods Athens,ADREIAN PAYNE
182,Panathinaikos Superfoods Athens,NIKOS PAPPAS
183,CSKA Moscow,LEO WESTERMANN
184,Fenerbahce Dogus Istanbul,MELIH MAHMUTOGLU
185,Olympiacos SFP Pireaus,BRIAN ROBERTS
186,Olympiacos SFP Pireaus,JAMEL MCLEAN
187,Olympiacos SFP Pireaus,KIM TILLIE
188,Olympiacos SFP Pireaus,KOSTAS PAPANIKOLAOU
189,Olympiacos SFP Pireaus,VASSILIS SPANOULIS
190,Olympiacos SFP Pireaus,KYLE WILTJER
191,Olympiacos SFP Pireaus,NIKOLA MILUTINOV
192,Olympiacos SFP Pireaus,JANIS STRELNIEKS
193,Olympiacos SFP Pireaus,IOANNIS PAPAPETROU
194,Olympiacos SFP Pireaus,VANGELIS MANTZARIS
